word,n
finland,23
focus,22
finnish,19
human,16
law,13
fund,11
funding,10
public,10
data,9
support,9
sustainability,9
topic,9
cut,8
drug,8
start,8
tumor,8
brain,7
crisis,7
chain,6
conflict,6
factor,6
humanitarian,6
logistic,6
application,5
form,5
skill,5
supply,5
approach,4
arctic,4
artist,4
basic,4
cash,4
condition,4
diagnostic,4
finding,4
gamble,4
innovation,4
music,4
ongoing,4
organization,4
plan,4
politics,4
publish,4
syria,4
transition,4
woman,4
world,4
action,3
adult,3
art,3
carry,3
collaboration,3
discussion,3
find,3
industry,3
institution,3
join,3
monopoly,3
motivation,3
multidisciplinary,3
plasticity,3
play,3
policy,3
popular,3
populist,3
program,3
risk,3
rock,3
scholar,3
ship,3
standard,3
tool,3
act,2
activity,2
adaptation,2
adopt,2
afghanistan,2
apply,2
asa,2
aspirin,2
assist,2
attack,2
authoritarian,2
award,2
bad,2
bca,2
blockchain,2
build,2
building,2
circular,2
commit,2
company,2
compound,2
construction,2
consumption,2
contribution,2
coordination,2
copd,2
corporations,2
cosmic,2
cost,2
covid,2
crust,2
day,2
disability,2
discuss,2
distribution,2
dont,2
dynamic,2
fat,2
fly,2
follow,2
formation,2
gain,2
ill,2
information,2
lab,2
light,2
link,2
list,2
loss,2
math,2
microplastic,2
minipublic,2
opinion,2
organisation,2
production,2
raising,2
ray,2
road,2
robot,2
school,2
solar,2
solution,2
solutions,2
symbiosis,2
tabloid,2
thousand,2
train,2
transformation,2
translation,2
trust,2
ability,1
absurdity,1
account,1
accountability,1
actor,1
advisory,1
affirmation,1
aid,1
airway,1
amkvo,1
andrusaitis,1
antarctican,1
applicability,1
asian,1
assistant,1
associations,1
auditory,1
barn,1
bcan,1
bigdata,1
bigdato,1
bigprod,1
bind,1
bio,1
bioinformatic,1
bit,1
block,1
blog,1
body,1
boss,1
boundary,1
brand,1
bring,1
broadly,1
brown,1
bury,1
canopy,1
capacity,1
china,1
christian,1
chronicpain,1
city,1
class,1
clould,1
coach,1
collaborator,1
common,1
comparison,1
composition,1
conduct,1
cool,1
corona,1
count,1
cross,1
cutavirus,1
daa,1
daytoday,1
diagnosis,1
diatom,1
difficult,1
dig,1
digitization,1
dispatch,1
disruption,1
distinct,1
dmp,1
dna,1
dnarna,1
docschool,1
domain,1
dominant,1
draw,1
drop,1
durga,1
dwindl,1
dynamics,1
fais,1
fantastic,1
fascism,1
fb,1
fight,1
fill,1
fin,1
float,1
flux,1
focusing,1
fond,1
format,1
fossil,1
foundation,1
function,1
gap,1
girl,1
gov,1
gram,1
grounds,1
grow,1
growth,1
guataf,1
habitat,1
hand,1
hannah,1
harm,1
hazard,1
hci,1
hit,1
host,1
hot,1
humanai,1
humanitariand,1
ia,1
idp,1
idps,1
illusion,1
indian,1
induction,1
infant,1
inflammation,1
info,1
inhibit,1
inhibitor,1
inhibitory,1
innosdg,1
insight,1
intonation,1
intra,1
itll,1
jhlscm,1
jobsin,1
john,1
kaisa,1
kajsa,1
kind,1
kindly,1
ktmt,1
kurdistan,1
la,1
liability,1
liquidliquid,1
lot,1
lould,1
ls,1
lutbiz,1
madagascar,1
magma,1
maintain,1
major,1
manufacturing,1
markus,1
mic,1
midst,1
migration,1
mikrobisymbiotit,1
militancy,1
million,1
mind,1
mining,1
minor,1
mitochondria,1
ml,1
modify,1
monitor,1
monitoring,1
moon,1
mot,1
motivating,1
mountain,1
mountainous,1
multidrug,1
mydata,1
narrow,1
navigation,1
nlp,1
noir,1
noncoding,1
nordic,1
nordicnoir,1
north,1
norway,1
notion,1
nr,1
omadaof,1
onfarm,1
onwards,1
origind,1
oulu,1
owl,1
oxytocin,1
paradox,1
parkinson,1
parody,1
party,1
pass,1
past,1
plant,1
plastic,1
plausibility,1
point,1
polarization,1
policymak,1
politician,1
polity,1
pollution,1
polyphonictranslation,1
populism,1
postgrowth,1
postwar,1
pricing,1
privacy,1
product,1
productivity,1
propulsion,1
protract,1
proudly,1
prould,1
psychosomatic,1
pub,1
publication,1
quantify,1
quantumcomput,1
quantumphysic,1
quil,1
radiation,1
randomly,1
rant,1
rapid,1
rid,1
rna,1
root,1
roslund,1
routing,1
run,1
sanoin,1
sansout,1
scan,1
short,1
significant,1
silico,1
skin,1
smart,1
smooth,1
sociability,1
solidarity,1
solly,1
sous,1
south,1
southafrican,1
span,1
sport,1
stationary,1
stay,1
sti,1
stir,1
stock,1
story,1
straight,1
strongly,1
studio,1
stuff,1
submit,1
sunlight,1
sur,1
surround,1
sustain,1
symbiont,1
tag,1
tais,1
taiwan,1
taiwant,1
tandris,1
tax,1
taxation,1
taxonomic,1
throw,1
tia,1
tip,1
top,1
touch,1
traffic,1
transdisciplinary,1
transform,1
translator,1
tumour,1
tunability,1
tv,1
ubicomp,1
ubiquitous,1
ucph,1
ultrasound,1
unfollow,1
unorthodox,1
urban,1
urbanity,1
utopia,1
ux,1
vary,1
vision,1
volcanism,1
vr,1
vuorovaikutus,1
warm,1
whoknow,1
wild,1
win,1
word,1
worldclass,1
writing,1
your,1
zoom,1
zoonotic,1
